SampleID,site,BiogeographicalRegion,Latitude,Longitude,Elevation,MeanAnnualTemp,MeanSummerTemp,MeanWinterTemp,MeanAnnualPrecipitation,PrecipitationBimodalityIndex,SoilOrder,BiocrustType,SoilPH,OrganicMatter,Clay,Sand,Conductivity,Carbonate,Gypsum
site1,1,Sonoran,32.2,-112.9,1505,21.4,27.5,15.7,20.6,0.2,Aridisols,light,7.5,0.3,13,46,2,9,0
site2,2,Colorado Plateau,38.6,-109.5,1405,13.5,21.9,4.4,9.9,0.2,Entisols,light,7.5,0.8,8,80,1,6,0
site3,3,Colorado Plateau,38.7,-109.7,1339,13.5,21.9,4.4,9.9,0.2,Aridisols,light,8,0.8,14,66,1,3,0
site4,4,Colorado Plateau,38.6,-109.6,1480,13.5,21.9,4.4,9.9,0.2,Entisols,dark,7.4,0.9,5,90,0,0,0
site5,5,Colorado Plateau,38.2,-109.7,1514,8,14.7,1.1,35.4,0.4,Entisols,dark,7.6,0.3,4,90,0,3,0
site6,6,Colorado Plateau,35,-107.5,1837,11,17.7,4,19.6,0.2,Entisols,dark,7.4,2,19,42,1,2,0
site7,7,Colorado Plateau,35,-108.3,2224,11,17.7,4,19.6,0.2,Allisols,light,7,0.7,14,66,1,1,0
site8,8,N. Great Basin,42.1,-119.7,5719,9.1,15.2,2.8,14.7,0.2,Aridisols,light,6.8,1.5,20,40,0,0,0
site9,9,N. Great Basin,42.5,-118.5,4127,8.4,13.8,2.8,35.9,0.3,Aridisols,dark,7.1,1.5,25,55,3,0,0
site10,10,N. Great Basin,42.1,-119.6,4305,9.1,15.2,2.8,14.7,0.2,Aridisols,dark,8,1.5,30,38,0,0,0
site11,11,N. Great Basin,41.9,-118.9,4380,9.1,15.2,2.8,14.7,0.2,Entisols,Lichen,7.5,0.3,15,14,5,5,0
site12,12,N. Great Basin,44.5,-121.1,3124,10,15.4,4.5,12.6,0.1,Mollisols,dark,6.1,4,23,40,0,0,0
site13,13,Chihuahuan,34.3,-106.8,1612,15.2,18.4,8.3,10.2,0.2,Aridisols,dark,7.3,0.3,10,67,1,5,0
site14,14,Chihuahuan,34.2,-106.8,1595,15.2,18.4,8.3,10.2,0.2,Aridisols,Lichen,7.3,0.3,10,80,1,10,10
site15,15,Sonoran,33.3,-111.9,353,25.1,31.5,18.5,10.2,0.3,Aridisols,light,7.7,0.5,33,35,12,5,0
site16,16,Sonoran,32.8,-113.7,109,25.7,31.5,19.3,4.3,0.7,Aridisols,light,8.9,0.5,15,70,10,5,5
site17,17,Chihuahuan,32.1,-109.9,259,11.5,18,6.9,55.6,0.5,Allisols,light,7.8,0.8,15,65,6,4,1
site18,18,Chihuahuan,32.5,-106.7,1315,18.9,24.5,13,31,0.6,Aridisols,dark,7.7,0.3,13,71,1,5,0
site19,19,Mojave,34.1,-114.2,159,25,32.2,18,0.9,1,Arida/Entisols,light,7.7,0.3,4,79,1,9,0
site20,20,Mojave,35.6,-117.4,525,21.2,27.8,13.2,4.1,0.6,NA,light,8.1,NA,NA,NA,NA,NA,NA
site21,21,Mojave,35.3,-116,404,15,20.6,9.2,17.5,0.3,NA,light,8.1,NA,NA,NA,NA,NA,NA
site22,22,Mojave,35,-115.6,900,15,20.6,9.2,17.5,0.3,NA,dark,7.7,NA,NA,NA,NA,NA,NA
site23,23,Sonoran,33,-111.8,377,22.9,29.3,16.3,15.9,0.6,Aridisols,light,8.4,0.8,10,66,1,15,0
